5.0, {'nt1': 0.0, 'nt10': 0.0, 'nt11': 0.0, 'nt12': 0.0, 'nt13': -0.004464286, 'nt14': 0.0, 'nt15': 0.0, 'nt16': 0.0, 'nt2': 0.0, 'nt3': 0.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': 0.0, 'nt7': 0.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 1, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 0, 'nt3': 0, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 1, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 0, 'nt3': 0, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, 
10.0, {'nt1': 0.0, 'nt10': 0.0, 'nt11': 0.0, 'nt12': 0.0, 'nt13': 0.0, 'nt14': 0.0, 'nt15': 0.0, 'nt16': 0.0, 'nt2': 0.0, 'nt3': 0.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': 0.0, 'nt7': 0.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 0, 'nt3': 0, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 0, 'nt3': 0, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, 
15.0, {'nt1': 0.0, 'nt10': 0.0, 'nt11': 0.0, 'nt12': 0.0, 'nt13': 0.0, 'nt14': 0.0, 'nt15': 0.0, 'nt16': 0.0, 'nt2': 0.0, 'nt3': 0.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': 0.0, 'nt7': 0.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 0, 'nt3': 0, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 0, 'nt3': 0, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, 
20.0, {'nt1': 0.0, 'nt10': 0.0, 'nt11': 0.0, 'nt12': 0.0, 'nt13': 0.0, 'nt14': 0.0, 'nt15': 0.0, 'nt16': 0.0, 'nt2': -0.008928572, 'nt3': 0.0, 'nt4': 0.0, 'nt5': 0.0, 'nt6': 0.0, 'nt7': 0.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 1, 'nt3': 0, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 0, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 1, 'nt3': 0, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, 
25.0, {'nt1': 0.0, 'nt10': 0.0, 'nt11': 0.0, 'nt12': 0.0, 'nt13': -0.013392857, 'nt14': -0.017857144, 'nt15': 0.0, 'nt16': 0.0, 'nt2': 0.0, 'nt3': -0.004464286, 'nt4': 0.0, 'nt5': 0.0, 'nt6': 0.0, 'nt7': 0.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 1, 'nt14': 1, 'nt15': 0, 'nt16': 0, 'nt2': 0, 'nt3': 1, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 1, 'nt14': 1, 'nt15': 0, 'nt16': 0, 'nt2': 0, 'nt3': 1, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, 
30.0, {'nt1': 0.0, 'nt10': 0.0, 'nt11': 0.0, 'nt12': 0.0, 'nt13': -0.035714287, 'nt14': 0.0, 'nt15': 0.0, 'nt16': 0.0, 'nt2': 0.0, 'nt3': -0.026785715, 'nt4': 0.0, 'nt5': 0.0, 'nt6': 0.0, 'nt7': 0.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 1, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 0, 'nt3': 1, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 1, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 0, 'nt3': 1, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, 
35.0, {'nt1': 0.0, 'nt10': 0.0, 'nt11': 0.0, 'nt12': 0.0, 'nt13': -0.058035713, 'nt14': 0.0, 'nt15': 0.0, 'nt16': 0.0, 'nt2': -0.017857144, 'nt3': -0.071428575, 'nt4': 0.0, 'nt5': 0.0, 'nt6': 0.0, 'nt7': 0.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 1, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 1, 'nt3': 2, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 1, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 1, 'nt3': 2, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, 
40.0, {'nt1': 0.0, 'nt10': 0.0, 'nt11': 0.0, 'nt12': 0.0, 'nt13': -0.102678575, 'nt14': 0.0, 'nt15': 0.0, 'nt16': 0.0, 'nt2': -0.04017857, 'nt3': -0.12946428, 'nt4': 0.0, 'nt5': 0.0, 'nt6': 0.0, 'nt7': 0.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 2, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 1, 'nt3': 3, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 2, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 1, 'nt3': 3, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, 
45.0, {'nt1': 0.0, 'nt10': 0.0, 'nt11': 0.0, 'nt12': 0.0, 'nt13': -0.14732143, 'nt14': 0.0, 'nt15': 0.0, 'nt16': 0.0, 'nt2': -0.008928572, 'nt3': -0.21875, 'nt4': 0.0, 'nt5': 0.0, 'nt6': 0.0, 'nt7': 0.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 2, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 1, 'nt3': 4, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 2, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 1, 'nt3': 4, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, 
50.0, {'nt1': 0.0, 'nt10': 0.0, 'nt11': 0.0, 'nt12': 0.0, 'nt13': -0.19642857, 'nt14': 0.0, 'nt15': 0.0, 'nt16': 0.0, 'nt2': -0.03125, 'nt3': -0.3169643, 'nt4': 0.0, 'nt5': 0.0, 'nt6': 0.0, 'nt7': 0.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 3, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 1, 'nt3': 5, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 3, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 1, 'nt3': 5, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, 
55.0, {'nt1': 0.0, 'nt10': 0.0, 'nt11': 0.0, 'nt12': 0.0, 'nt13': -0.26339287, 'nt14': 0.0, 'nt15': 0.0, 'nt16': 0.0, 'nt2': -0.004464286, 'nt3': -0.45089287, 'nt4': 0.0, 'nt5': 0.0, 'nt6': 0.0, 'nt7': 0.0, 'nt8': 0.0, 'nt9': 0.0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 3, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 1, 'nt3': 6, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, {'nt1': 0, 'nt10': 0, 'nt11': 0, 'nt12': 0, 'nt13': 3, 'nt14': 0, 'nt15': 0, 'nt16': 0, 'nt2': 1, 'nt3': 6, 'nt4': 0, 'nt5': 0, 'nt6': 0, 'nt7': 0, 'nt8': 0, 'nt9': 0}, 
